V1	V2	V3	V4	V5	V6	V7
1997	sbi00053	Ascorbate and aldarate metabolism 	Sb02g000970	Sobic.002G008700	UGDH	K00012	EC:1.1.1.22
1998	sbi00500	Starch and sucrose metabolism 	Sb02g000970	Sobic.002G008700	UGDH	K00012	EC:1.1.1.22
1999	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g000970	Sobic.002G008700	UGDH	K00012	EC:1.1.1.22
2000	sbi00562	Inositol phosphate metabolism 	Sb02g000980	Sobic.002G008800	PTEN	K01110	EC:3.1.3.16 3.1.3.48 3.1.3.67
2001	sbi04070	Phosphatidylinositol signaling system 	Sb02g000980	Sobic.002G008800	PTEN	K01110	EC:3.1.3.16 3.1.3.48 3.1.3.67
2002	sbi00230	Purine metabolism 	Sb02g001020	Sobic.002G009300	URE	K01427	EC:3.5.1.5
2003	sbi00330	Arginine and proline metabolism 	Sb02g001020	Sobic.002G009300	URE	K01427	EC:3.5.1.5
2004	sbi03008	Ribosome biogenesis in eukaryotes 	Sb02g001110	Sobic.002G010300	CSNK2A	K03097	EC:2.7.11.1
2005	sbi04712	Circadian rhythm - plant 	Sb02g001110	Sobic.002G010300	CSNK2A	K03097	EC:2.7.11.1
2006	sbi00360	Phenylalanine metabolism 	Sb02g001135	Sobic.002G010600	E1.11.1.7	K00430	EC:1.11.1.7
2007	sbi00940	Phenylpropanoid biosynthesis 	Sb02g001135	Sobic.002G010600	E1.11.1.7	K00430	EC:1.11.1.7
2008	sbi00360	Phenylalanine metabolism 	Sb02g001140	Sobic.002G010700	E1.11.1.7	K00430	EC:1.11.1.7
2009	sbi00940	Phenylpropanoid biosynthesis 	Sb02g001140	Sobic.002G010700	E1.11.1.7	K00430	EC:1.11.1.7
2010	sbi04626	Plant-pathogen interaction 	Sb02g001150	Sobic.002G010800	RPM1	K13457	-
2011	sbi04141	Protein processing in endoplasmic reticulum 	Sb02g001920	Sobic.002G020700	PLAA	K14018	-
2012	sbi03015	mRNA surveillance pathway 	Sb02g002070	Sobic.002G022400	MSI	K14411	-
2013	sbi04075	Plant hormone signal transduction 	Sb02g002150	Sobic.002G023300	PR1	K13449	-
2014	sbi04626	Plant-pathogen interaction 	Sb02g002150	Sobic.002G023300	PR1	K13449	-
2016	sbi00230	Purine metabolism 	Sb02g002640	Sobic.002G029600	guaB	K00088	EC:1.1.1.205
2017	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g002660	Sobic.002G029800	UXE	K12448	EC:5.1.3.5
2018	sbi00195	Photosynthesis 	Sb02g002690	Sobic.002G030200	psbP	K02717	-
2019	sbi00195	Photosynthesis 	Sb02g002830	Sobic.002G032700	psbR	K03541	-
2020	sbi00195	Photosynthesis 	Sb02g002900	Sobic.002G033400	petH	K02641	EC:1.18.1.2
2021	sbi03018	RNA degradation 	Sb02g002910	Sobic.002G033500	RCD1	K12606	-
2022	sbi00195	Photosynthesis 	Sb02g002960	Sobic.002G033900	psaK	K02698	-
2023	sbi00480	Glutathione metabolism 	Sb02g003090	Sobic.002G035700	GST	K00799	EC:2.5.1.18
2024	sbi00906	Carotenoid biosynthesis 	Sb02g003230	Sobic.002G037400	NCED	K09840	EC:1.13.11.51
2025	sbi00906	Carotenoid biosynthesis 	Sb02g003240	Sobic.002G037500	NCED	K09840	EC:1.13.11.51
2026	sbi04626	Plant-pathogen interaction 	Sb02g003500	Sobic.002G040800	CPK	K13412	EC:2.7.11.1
2027	sbi01230	Biosynthesis of amino acids 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2028	sbi00270	Cysteine and methionine metabolism 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2029	sbi00350	Tyrosine metabolism 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2030	sbi00360	Phenylalanine metabolism 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2031	sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2032	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2033	sbi00950	Isoquinoline alkaloid biosynthesis 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2034	sbi00960	Tropane, piperidine and pyridine alkaloid biosynthesis 	Sb02g003520	Sobic.002G041100	TAT	K00815	EC:2.6.1.5
2035	sbi00620	Pyruvate metabolism 	Sb02g003640	Sobic.002G042400	E1.1.2.4	K00102	EC:1.1.2.4
2036	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb02g003650	Sobic.002G042500	VARS	K01873	EC:6.1.1.9
2037	sbi04130	SNARE interactions in vesicular transport 	Sb02g003700	Sobic.002G043300	STX1B_2_3	K08486	-
2038	sbi00906	Carotenoid biosynthesis 	Sb02g003720	Sobic.002G043500	AAO3	K09842	EC:1.2.3.14
2039	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb02g003730	Sobic.002G043600	PARS	K01881	EC:6.1.1.15
2042	sbi01212	Fatty acid metabolism 	Sb02g003840	Sobic.002G045000	FAD2	K10256	EC:1.14.19.-
2043	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb02g003840	Sobic.002G045000	FAD2	K10256	EC:1.14.19.-
2044	sbi03040	Spliceosome 	Sb02g003850	Sobic.002G045100	SNRPB	K11086	-
2045	sbi04120	Ubiquitin mediated proteolysis 	Sb02g003870	Sobic.002G045300	UBE2A	K10573	EC:6.3.2.19
2046	sbi00230	Purine metabolism 	Sb02g003900	Sobic.002G045700	pnp	K00962	EC:2.7.7.8
2047	sbi00240	Pyrimidine metabolism 	Sb02g003900	Sobic.002G045700	pnp	K00962	EC:2.7.7.8
2048	sbi03018	RNA degradation 	Sb02g003900	Sobic.002G045700	pnp	K00962	EC:2.7.7.8
2049	sbi03018	RNA degradation 	Sb02g003950	Sobic.002G046600	CNOT7_8	K12581	-
2054	sbi00052	Galactose metabolism 	Sb02g004010	Sobic.002G047500	galT	K00965	EC:2.7.7.12
2055	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g004010	Sobic.002G047500	galT	K00965	EC:2.7.7.12
2056	sbi03010	Ribosome 	Sb02g004020	Sobic.002G047600	RP-L15e	K02877	-
2060	sbi01200	Carbon metabolism 	Sb02g004550	Sobic.002G054400	PK	K00873	EC:2.7.1.40
2061	sbi01230	Biosynthesis of amino acids 	Sb02g004550	Sobic.002G054400	PK	K00873	EC:2.7.1.40
2062	sbi00010	Glycolysis / Gluconeogenesis 	Sb02g004550	Sobic.002G054400	PK	K00873	EC:2.7.1.40
2063	sbi00620	Pyruvate metabolism 	Sb02g004550	Sobic.002G054400	PK	K00873	EC:2.7.1.40
2064	sbi00230	Purine metabolism 	Sb02g004550	Sobic.002G054400	PK	K00873	EC:2.7.1.40
2065	sbi01230	Biosynthesis of amino acids 	Sb02g004580	Sobic.002G054700	trpA	K01695	EC:4.2.1.20
2066	sbi00260	Glycine, serine and threonine metabolism 	Sb02g004580	Sobic.002G054700	trpA	K01695	EC:4.2.1.20
2067	sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb02g004580	Sobic.002G054700	trpA	K01695	EC:4.2.1.20
2068	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g004650	Sobic.002G055600	E3.2.1.14	K01183	EC:3.2.1.14
2069	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g004660	Sobic.002G055700	E3.2.1.14	K01183	EC:3.2.1.14
2070	sbi04075	Plant hormone signal transduction 	Sb02g004670	Sobic.002G055900	IAA	K14484	-
2071	sbi00270	Cysteine and methionine metabolism 	Sb02g004680	Sobic.002G056000	DNMT1	K00558	EC:2.1.1.37
2072	sbi03010	Ribosome 	Sb02g004720	Sobic.002G056200	RP-S15e	K02958	-
2073	sbi03450	Non-homologous end-joining 	Sb02g004740	Sobic.002G056400	XRCC6	K10884	-
2074	sbi04626	Plant-pathogen interaction 	Sb02g004900	Sobic.002G058400	RPM1	K13457	-
2075	sbi03040	Spliceosome 	Sb02g004930	Sobic.002G058700	RBMX	K12885	-
2076	sbi04141	Protein processing in endoplasmic reticulum 	Sb02g005080	Sobic.002G060900	PREB	K14003	-
2077	sbi01200	Carbon metabolism 	Sb02g005200	Sobic.002G062500	mmsA	K00140	EC:1.2.1.18 1.2.1.27
2078	sbi00640	Propanoate metabolism 	Sb02g005200	Sobic.002G062500	mmsA	K00140	EC:1.2.1.18 1.2.1.27
2079	sbi00562	Inositol phosphate metabolism 	Sb02g005200	Sobic.002G062500	mmsA	K00140	EC:1.2.1.18 1.2.1.27
2080	sbi00280	Valine, leucine and isoleucine degradation 	Sb02g005200	Sobic.002G062500	mmsA	K00140	EC:1.2.1.18 1.2.1.27
2081	sbi00410	beta-Alanine metabolism 	Sb02g005200	Sobic.002G062500	mmsA	K00140	EC:1.2.1.18 1.2.1.27
2082	sbi00730	Thiamine metabolism 	Sb02g005380	Sobic.002G064500	dxs	K01662	EC:2.2.1.7
2083	sbi00900	Terpenoid backbone biosynthesis 	Sb02g005380	Sobic.002G064500	dxs	K01662	EC:2.2.1.7
2084	sbi00730	Thiamine metabolism 	Sb02g005410	Sobic.002G064700	dxs	K01662	EC:2.2.1.7
2085	sbi00900	Terpenoid backbone biosynthesis 	Sb02g005410	Sobic.002G064700	dxs	K01662	EC:2.2.1.7
2086	sbi00190	Oxidative phosphorylation 	Sb02g005440	Sobic.002G065000	E3.6.3.6	K01535	EC:3.6.3.6
2087	sbi03015	mRNA surveillance pathway 	Sb02g005620	Sobic.002G067100	MSI	K14411	-
2089	sbi00330	Arginine and proline metabolism 	Sb02g005750	Sobic.002G068600	E1.14.11.2	K00472	EC:1.14.11.2
2090	sbi00330	Arginine and proline metabolism 	Sb02g005760	Sobic.002G068700	E1.14.11.2	K00472	EC:1.14.11.2
2094	sbi00906	Carotenoid biosynthesis 	Sb02g006100	Sobic.002G072400	ZDS	K00514	EC:1.3.5.6
2095	sbi00190	Oxidative phosphorylation 	Sb02g006120	Sobic.002G072600	QCR7	K00417	-
2096	sbi00190	Oxidative phosphorylation 	Sb02g006170	Sobic.002G073800	ATPeV1G	K02152	-
2097	sbi04145	Phagosome 	Sb02g006170	Sobic.002G073800	ATPeV1G	K02152	-
2098	sbi03010	Ribosome 	Sb02g006200	Sobic.002G074200	RP-S2e	K02981	-
2099	sbi00052	Galactose metabolism 	Sb02g006320	Sobic.002G075800	E2.4.1.82	K06617	EC:2.4.1.82
2100	sbi00510	N-Glycan biosynthesis 	Sb02g006330	Sobic.002G075900	WBP1	K12670	-
2101	sbi04141	Protein processing in endoplasmic reticulum 	Sb02g006330	Sobic.002G075900	WBP1	K12670	-
2102	sbi00908	Zeatin biosynthesis 	Sb02g006400	Sobic.002G076700	IPT	K10760	-
2103	sbi00190	Oxidative phosphorylation 	Sb02g006530	Sobic.002G078300	NDUFAB1	K03955	-
2104	sbi04144	Endocytosis 	Sb02g006540	Sobic.002G078400	ARF1	K07937	-
2105	sbi00310	Lysine degradation 	Sb02g006620	Sobic.002G079100	EHMT	K11420	EC:2.1.1.43
2106	sbi04070	Phosphatidylinositol signaling system 	Sb02g006630	Sobic.002G079200	CALM	K02183	-
2107	sbi04626	Plant-pathogen interaction 	Sb02g006630	Sobic.002G079200	CALM	K02183	-
2108	sbi03010	Ribosome 	Sb02g006810	Sobic.002G081600	RP-S12e	K02951	-
2109	sbi04144	Endocytosis 	Sb02g007010	Sobic.002G083800	CHMP2A	K12191	-
2110	sbi03040	Spliceosome 	Sb02g007020	Sobic.002G083900	THOC4	K12881	-
2111	sbi03013	RNA transport 	Sb02g007020	Sobic.002G083900	THOC4	K12881	-
2112	sbi03015	mRNA surveillance pathway 	Sb02g007020	Sobic.002G083900	THOC4	K12881	-
2114	sbi00511	Other glycan degradation 	Sb02g007180	Sobic.002G086500	AXY8	K15923	EC:3.2.1.51
2115	sbi03050	Proteasome 	Sb02g007210	Sobic.002G087000	PSMB7	K02739	EC:3.4.25.1
2116	sbi03010	Ribosome 	Sb02g007640	Sobic.002G092400	RP-LP2	K02943	-
2117	sbi03018	RNA degradation 	Sb02g007770	Sobic.002G093900	DCP1B	K12611	EC:3.-.-.-
2118	sbi00260	Glycine, serine and threonine metabolism 	Sb02g007930	Sobic.002G096000	AOC3	K00276	EC:1.4.3.21
2119	sbi00350	Tyrosine metabolism 	Sb02g007930	Sobic.002G096000	AOC3	K00276	EC:1.4.3.21
2120	sbi00360	Phenylalanine metabolism 	Sb02g007930	Sobic.002G096000	AOC3	K00276	EC:1.4.3.21
2121	sbi00410	beta-Alanine metabolism 	Sb02g007930	Sobic.002G096000	AOC3	K00276	EC:1.4.3.21
2122	sbi00950	Isoquinoline alkaloid biosynthesis 	Sb02g007930	Sobic.002G096000	AOC3	K00276	EC:1.4.3.21
2123	sbi00960	Tropane, piperidine and pyridine alkaloid biosynthesis 	Sb02g007930	Sobic.002G096000	AOC3	K00276	EC:1.4.3.21
2124	sbi04140	Regulation of autophagy 	Sb02g007970	Sobic.002G096900	ATG3	K08343	EC:6.3.2.19
2125	sbi00564	Glycerophospholipid metabolism 	Sb02g008130	Sobic.002G098900	PLD1_2	K01115	EC:3.1.4.4
2126	sbi00565	Ether lipid metabolism 	Sb02g008130	Sobic.002G098900	PLD1_2	K01115	EC:3.1.4.4
2127	sbi04144	Endocytosis 	Sb02g008130	Sobic.002G098900	PLD1_2	K01115	EC:3.1.4.4
2128	sbi00051	Fructose and mannose metabolism 	Sb02g008440	Sobic.002G100900	manA	K01809	EC:5.3.1.8
2129	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g008440	Sobic.002G100900	manA	K01809	EC:5.3.1.8
2130	sbi04144	Endocytosis 	Sb02g008790	Sobic.002G103500	RAB11A	K07904	-
2131	sbi00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis 	Sb02g008800	Sobic.002G103600	PIGA	K03857	EC:2.4.1.198
2132	sbi00350	Tyrosine metabolism 	Sb02g008850	Sobic.002G104200	HPD	K00457	EC:1.13.11.27
2133	sbi00360	Phenylalanine metabolism 	Sb02g008850	Sobic.002G104200	HPD	K00457	EC:1.13.11.27
2134	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb02g008850	Sobic.002G104200	HPD	K00457	EC:1.13.11.27
2135	sbi03015	mRNA surveillance pathway 	Sb02g008950	Sobic.002G105200	PPP2R5	K11584	-
2136	sbi00350	Tyrosine metabolism 	Sb02g008990	Sobic.002G105600	HPD	K00457	EC:1.13.11.27
2137	sbi00360	Phenylalanine metabolism 	Sb02g008990	Sobic.002G105600	HPD	K00457	EC:1.13.11.27
2138	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb02g008990	Sobic.002G105600	HPD	K00457	EC:1.13.11.27
2142	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g009390	Sobic.002G110000	E3.2.1.14	K01183	EC:3.2.1.14
2145	sbi01212	Fatty acid metabolism 	Sb02g009540	Sobic.002G111500	FATB	K10781	EC:3.1.2.14 3.1.2.21
2146	sbi00061	Fatty acid biosynthesis 	Sb02g009540	Sobic.002G111500	FATB	K10781	EC:3.1.2.14 3.1.2.21
2152	sbi00760	Nicotinate and nicotinamide metabolism 	Sb02g009640	Sobic.002G112700	E6.3.5.1	K01950	EC:6.3.5.1
2153	sbi04626	Plant-pathogen interaction 	Sb02g009790	Sobic.002G114800	CPK	K13412	EC:2.7.11.1
2154	sbi03013	RNA transport 	Sb02g009800	Sobic.002G114900	XPO1	K14290	-
2155	sbi03008	Ribosome biogenesis in eukaryotes 	Sb02g009800	Sobic.002G114900	XPO1	K14290	-
2156	sbi03010	Ribosome 	Sb02g009810	Sobic.002G115000	RP-L8e	K02938	-
2160	sbi00052	Galactose metabolism 	Sb02g010060	Sobic.002G117900	malZ	K01187	EC:3.2.1.20
2161	sbi00500	Starch and sucrose metabolism 	Sb02g010060	Sobic.002G117900	malZ	K01187	EC:3.2.1.20
2162	sbi00310	Lysine degradation 	Sb02g010210	Sobic.002G119600	EHMT	K11420	EC:2.1.1.43
2163	sbi00350	Tyrosine metabolism 	Sb02g010470	Sobic.002G120700	E4.1.1.25	K01592	EC:4.1.1.25
2164	sbi00950	Isoquinoline alkaloid biosynthesis 	Sb02g010470	Sobic.002G120700	E4.1.1.25	K01592	EC:4.1.1.25
2165	sbi00052	Galactose metabolism 	Sb02g010650	Sobic.002G123100	E3.2.1.22B	K07407	EC:3.2.1.22
2166	sbi00561	Glycerolipid metabolism 	Sb02g010650	Sobic.002G123100	E3.2.1.22B	K07407	EC:3.2.1.22
2167	sbi00600	Sphingolipid metabolism 	Sb02g010650	Sobic.002G123100	E3.2.1.22B	K07407	EC:3.2.1.22
2168	sbi00603	Glycosphingolipid biosynthesis - globo series 	Sb02g010650	Sobic.002G123100	E3.2.1.22B	K07407	EC:3.2.1.22
2169	sbi04075	Plant hormone signal transduction 	Sb02g010680	Sobic.002G123400	ARR-A	K14492	-
2170	sbi00900	Terpenoid backbone biosynthesis 	Sb02g010690	Sobic.002G123500	DHDDS	K11778	EC:2.5.1.87
2171	sbi00190	Oxidative phosphorylation 	Sb02g010770	Sobic.002G124900	ATPeF0D	K02138	-
2172	sbi01220	Degradation of aromatic compounds 	Sb02g010910	Sobic.002G126600	CYP73A	K00487	EC:1.14.13.11
2173	sbi00360	Phenylalanine metabolism 	Sb02g010910	Sobic.002G126600	CYP73A	K00487	EC:1.14.13.11
2174	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb02g010910	Sobic.002G126600	CYP73A	K00487	EC:1.14.13.11
2175	sbi00940	Phenylpropanoid biosynthesis 	Sb02g010910	Sobic.002G126600	CYP73A	K00487	EC:1.14.13.11
2176	sbi00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis 	Sb02g010910	Sobic.002G126600	CYP73A	K00487	EC:1.14.13.11
2177	sbi00941	Flavonoid biosynthesis 	Sb02g010910	Sobic.002G126600	CYP73A	K00487	EC:1.14.13.11
2178	sbi04626	Plant-pathogen interaction 	Sb02g011040	Sobic.002G128300	RPM1	K13457	-
2179	sbi00564	Glycerophospholipid metabolism 	Sb02g011070	Sobic.002G128600	LYPLA3	K06129	EC:3.1.1.5
2180	sbi00230	Purine metabolism 	Sb02g011150	Sobic.002G129200	RPB6	K03014	-
2181	sbi00240	Pyrimidine metabolism 	Sb02g011150	Sobic.002G129200	RPB6	K03014	-
2182	sbi03020	RNA polymerase 	Sb02g011150	Sobic.002G129200	RPB6	K03014	-
2183	sbi00900	Terpenoid backbone biosynthesis 	Sb02g011210	Sobic.002G130000	DHDDS	K11778	EC:2.5.1.87
2184	sbi00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis 	Sb02g011300	Sobic.002G131400	PIGM	K05284	EC:2.4.1.-
2189	sbi03013	RNA transport 	Sb02g011430	Sobic.002G132600	NUP210	K14314	-
2191	sbi01230	Biosynthesis of amino acids 	Sb02g011470	Sobic.002G133100	ADT	K05359	EC:4.2.1.91 4.2.1.51
2192	sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb02g011470	Sobic.002G133100	ADT	K05359	EC:4.2.1.91 4.2.1.51
2193	sbi03015	mRNA surveillance pathway 	Sb02g011680	Sobic.002G133300	PCF11	K14400	-
2194	sbi04075	Plant hormone signal transduction 	Sb02g011690	Sobic.002G133400	CTR1	K14510	EC:2.7.11.1
2195	sbi00073	Cutin, suberine and wax biosynthesis 	Sb02g011920	Sobic.002G134100	FAR	K13356	EC:1.2.1.-
2196	sbi04146	Peroxisome 	Sb02g011920	Sobic.002G134100	FAR	K13356	EC:1.2.1.-
2197	sbi00240	Pyrimidine metabolism 	Sb02g011950	Sobic.002G134400	URH1	K01240	EC:3.2.2.3
2198	sbi00760	Nicotinate and nicotinamide metabolism 	Sb02g011950	Sobic.002G134400	URH1	K01240	EC:3.2.2.3
2200	sbi03010	Ribosome 	Sb02g012010	Sobic.002G134900	RP-L10Ae	K02865	-
2201	sbi00230	Purine metabolism 	Sb02g012030	Sobic.002G135100	POLE3	K02326	EC:2.7.7.7
2202	sbi00240	Pyrimidine metabolism 	Sb02g012030	Sobic.002G135100	POLE3	K02326	EC:2.7.7.7
2203	sbi03030	DNA replication 	Sb02g012030	Sobic.002G135100	POLE3	K02326	EC:2.7.7.7
2204	sbi03410	Base excision repair 	Sb02g012030	Sobic.002G135100	POLE3	K02326	EC:2.7.7.7
2205	sbi03420	Nucleotide excision repair 	Sb02g012030	Sobic.002G135100	POLE3	K02326	EC:2.7.7.7
2206	sbi03010	Ribosome 	Sb02g012040	Sobic.002G135200	RP-L40e	K02927	-
2207	sbi00860	Porphyrin and chlorophyll metabolism 	Sb02g012300	Sobic.002G135800	E3.1.1.14	K08099	EC:3.1.1.14
2209	sbi00040	Pentose and glucuronate interconversions 	Sb02g012560	Sobic.002G138400	E3.1.1.11	K01051	EC:3.1.1.11
2210	sbi00500	Starch and sucrose metabolism 	Sb02g012560	Sobic.002G138400	E3.1.1.11	K01051	EC:3.1.1.11
2211	sbi03030	DNA replication 	Sb02g012600	Sobic.002G138900	RFA2	K10739	-
2212	sbi03420	Nucleotide excision repair 	Sb02g012600	Sobic.002G138900	RFA2	K10739	-
2213	sbi03430	Mismatch repair 	Sb02g012600	Sobic.002G138900	RFA2	K10739	-
2214	sbi03440	Homologous recombination 	Sb02g012600	Sobic.002G138900	RFA2	K10739	-
2215	sbi03040	Spliceosome 	Sb02g012970	Sobic.002G140900	PRPF38A	K12849	-
2216	sbi04141	Protein processing in endoplasmic reticulum 	Sb02g013030	Sobic.002G141600	CUL1	K03347	-
2217	sbi04120	Ubiquitin mediated proteolysis 	Sb02g013030	Sobic.002G141600	CUL1	K03347	-
2218	sbi03018	RNA degradation 	Sb02g013160	Sobic.002G142900	CNOT10	K12607	-
2219	sbi04075	Plant hormone signal transduction 	Sb02g014250	Sobic.002G144800	CYCD3	K14505	-
2220	sbi00230	Purine metabolism 	Sb02g014460	Sobic.002G145000	RPB3	K03011	-
2221	sbi00240	Pyrimidine metabolism 	Sb02g014460	Sobic.002G145000	RPB3	K03011	-
2222	sbi03020	RNA polymerase 	Sb02g014460	Sobic.002G145000	RPB3	K03011	-
2223	sbi00940	Phenylpropanoid biosynthesis 	Sb02g014910	Sobic.002G146000	CCR	K09753	EC:1.2.1.44
2224	sbi00052	Galactose metabolism 	Sb02g018580	Sobic.002G151700	E3.2.1.22B	K07407	EC:3.2.1.22
2225	sbi00561	Glycerolipid metabolism 	Sb02g018580	Sobic.002G151700	E3.2.1.22B	K07407	EC:3.2.1.22
2226	sbi00600	Sphingolipid metabolism 	Sb02g018580	Sobic.002G151700	E3.2.1.22B	K07407	EC:3.2.1.22
2227	sbi00603	Glycosphingolipid biosynthesis - globo series 	Sb02g018580	Sobic.002G151700	E3.2.1.22B	K07407	EC:3.2.1.22
2228	sbi00052	Galactose metabolism 	Sb02g018590	Sobic.002G151800	E3.2.1.22B	K07407	EC:3.2.1.22
2229	sbi00561	Glycerolipid metabolism 	Sb02g018590	Sobic.002G151800	E3.2.1.22B	K07407	EC:3.2.1.22
2230	sbi00600	Sphingolipid metabolism 	Sb02g018590	Sobic.002G151800	E3.2.1.22B	K07407	EC:3.2.1.22
2231	sbi00603	Glycosphingolipid biosynthesis - globo series 	Sb02g018590	Sobic.002G151800	E3.2.1.22B	K07407	EC:3.2.1.22
2232	sbi00052	Galactose metabolism 	Sb02g018600	Sobic.002G152100	E3.2.1.22B	K07407	EC:3.2.1.22
2233	sbi00561	Glycerolipid metabolism 	Sb02g018600	Sobic.002G152100	E3.2.1.22B	K07407	EC:3.2.1.22
2234	sbi00600	Sphingolipid metabolism 	Sb02g018600	Sobic.002G152100	E3.2.1.22B	K07407	EC:3.2.1.22
2235	sbi00603	Glycosphingolipid biosynthesis - globo series 	Sb02g018600	Sobic.002G152100	E3.2.1.22B	K07407	EC:3.2.1.22
2236	sbi04075	Plant hormone signal transduction 	Sb02g018870	Sobic.002G153100	TGA	K14431	-
2237	sbi04144	Endocytosis 	Sb02g018890	Sobic.002G153500	RAB11A	K07904	-
2239	sbi01230	Biosynthesis of amino acids 	Sb02g019450	Sobic.002G155100	thrA	K12524	EC:2.7.2.4 1.1.1.3
2240	sbi00260	Glycine, serine and threonine metabolism 	Sb02g019450	Sobic.002G155100	thrA	K12524	EC:2.7.2.4 1.1.1.3
2241	sbi00270	Cysteine and methionine metabolism 	Sb02g019450	Sobic.002G155100	thrA	K12524	EC:2.7.2.4 1.1.1.3
2242	sbi00300	Lysine biosynthesis 	Sb02g019450	Sobic.002G155100	thrA	K12524	EC:2.7.2.4 1.1.1.3
2243	sbi04141	Protein processing in endoplasmic reticulum 	Sb02g019480	Sobic.002G155500	UBE2D_E	K06689	EC:6.3.2.19
2244	sbi04120	Ubiquitin mediated proteolysis 	Sb02g019480	Sobic.002G155500	UBE2D_E	K06689	EC:6.3.2.19
2245	sbi02010	ABC transporters 	Sb02g019540	Sobic.002G156400	ABCB1	K05658	EC:3.6.3.44
2246	sbi04141	Protein processing in endoplasmic reticulum 	Sb02g019570	Sobic.002G156900	SIL1	K14001	-
2247	sbi03022	Basal transcription factors 	Sb02g020250	Sobic.002G158700	TAF6	K03131	-
2249	sbi00196	Photosynthesis - antenna proteins 	Sb02g020290	Sobic.002G159100	LHCB7	K14172	-
2250	sbi00860	Porphyrin and chlorophyll metabolism 	Sb02g020320	Sobic.002G159300	hemH	K01772	EC:4.99.1.1
2251	sbi04141	Protein processing in endoplasmic reticulum 	Sb02g020380	Sobic.002G160100	SIL1	K14001	-
2252	sbi00051	Fructose and mannose metabolism 	Sb02g020400	Sobic.002G160300	E2.7.1.90	K00895	EC:2.7.1.90
2253	sbi00500	Starch and sucrose metabolism 	Sb02g020410	Sobic.002G160400	glgC	K00975	EC:2.7.7.27
2254	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g020410	Sobic.002G160400	glgC	K00975	EC:2.7.7.27
2255	sbi01230	Biosynthesis of amino acids 	Sb02g020430	Sobic.002G160600	trpC	K01609	EC:4.1.1.48
2256	sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb02g020430	Sobic.002G160600	trpC	K01609	EC:4.1.1.48
2257	sbi03040	Spliceosome 	Sb02g020440	Sobic.002G160700	THOC3	K12880	-
2258	sbi03013	RNA transport 	Sb02g020440	Sobic.002G160700	THOC3	K12880	-
2259	sbi00310	Lysine degradation 	Sb02g020844	Sobic.002G164800	SETD2	K11423	EC:2.1.1.43
2260	sbi04146	Peroxisome 	Sb02g021030	Sobic.002G166300	PEX3	K13336	-
2261	sbi01200	Carbon metabolism 	Sb02g021090	Sobic.002G167000	ppc	K01595	EC:4.1.1.31
2262	sbi00620	Pyruvate metabolism 	Sb02g021090	Sobic.002G167000	ppc	K01595	EC:4.1.1.31
2263	sbi00710	Carbon fixation in photosynthetic organisms 	Sb02g021090	Sobic.002G167000	ppc	K01595	EC:4.1.1.31
2264	sbi00564	Glycerophospholipid metabolism 	Sb02g021100	Sobic.002G167100	E2.7.7.41	K00981	EC:2.7.7.41
2265	sbi04070	Phosphatidylinositol signaling system 	Sb02g021100	Sobic.002G167100	E2.7.7.41	K00981	EC:2.7.7.41
2266	sbi00052	Galactose metabolism 	Sb02g021780	Sobic.002G170100	galE	K01784	EC:5.1.3.2
2267	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb02g021780	Sobic.002G170100	galE	K01784	EC:5.1.3.2
2268	sbi01212	Fatty acid metabolism 	Sb02g022080	Sobic.002G171600	fabG	K00059	EC:1.1.1.100
